plant_cd,item_cd,item_nm,spec,item_acct_cd,item_acct_nm,item_group_cd,item_group_nm,item_class,item_class_nm,basic_unit,if_seq,create_type,is_canceled,source_inf_id,synced_at
PL11,0092060200,"BUSH:Φ6:D-CUT FLANGE(0092 0602)","",30,"Raw Material",OA000,"OA Injection","","",EA,1,A,0,6,"2026-08-25 15:39:08"
PL11,0092060300,"BUSH:Φ6:MOLD","",30,"Raw Material",OA000,"OA Injection","","",EA,1,A,0,9,"2026-08-25 15:39:08"
PL11,0092061200,"BUSH:∮6:4L:D-CUT FLANGE","",30,"Raw Material",OA000,"OA Injection","","",EA,1,A,0,10,"2026-08-25 15:39:08"
PL11,030312-00001,"CONNECTOR TERMINAL","HOUSING CONTACT TERMINAL GY-A00M-A-2P",35,"Subsidiary Materials",ZZ300,Component(Etc.),"","",EA,1,A,0,21,"2026-08-25 15:39:08"
PL11,040101-00016,"RESIN PC","PC, LD7700, V-2, NATURAL",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",GR,1,A,0,22,"2026-08-25 15:39:08"
PL11,040101-00022,"RESIN PC 【 30100-001WH0 】","PC, ER1006FH, 5VA, WHITE",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",GR,1,A,0,23,"2026-08-25 15:39:08"
PL11,040101-00022S,"RESIN PC 【 30100-001WHR 】","PC ER1006FH WA070, WHITE",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,24,"2026-08-25 15:39:08"
PL11,040101-00029,"RESIN PC 【 30100-002BK0 】","PC, UF-1012, 5VA, BLACK",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",GR,1,A,0,25,"2026-08-25 15:39:08"
PL11,040101-00029S,"RESIN PC 【 30100-002BKR 】","PC, UF-1012, 5VA, BLACK",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",GR,1,A,0,26,"2026-08-25 15:39:08"
PL11,040101-00042,"RESIN PC 【 30100-001BB0 】","PC EN1052/72389 (BLUE BLACK)",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,27,"2026-08-25 15:39:08"
PL11,040101-00042S,"RESIN PC 【 30100-001BBR 】","PC EN1052/72390® (BLUE BLACK)",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,28,"2026-08-25 15:39:08"
PL11,040101-00043,"RESIN PC 【 30100-002WH0 】","PC+GF10% LS-3104G-W96246 LOTTE CHEMICAL WHITE",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,29,"2026-08-25 15:39:08"
PL11,040101-00043C,"RESIN PC 【 30100-002WH0 】","PC+GF10% LS-3104G-W96246 LOTTE CHEMICAL WHITE",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,30,"2026-08-25 15:39:08"
PL11,040101-00044,"RESIN PC 【 30100-003BK0 】","PC SA-1220_FW9330 LOTTE CHEMICAL BLACK",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,31,"2026-08-25 15:39:08"
PL11,040101-00045,"RESIN PC 【 30100-004BK0 】","PC+GF10% LS-3104G/K23941 BLACK",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,32,"2026-08-25 15:39:08"
PL11,040101-00046,"RESIN PC 【 30100-005BK0 】","PC LUPOY ER1006FH KA141LA BLACK",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,33,"2026-08-25 15:39:08"
PL11,040101-00046S,"RESIN PC 【 30100-005BKR 】","PC LUPOY ER1006FH(R) KA141LA BLACK",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,34,"2026-08-25 15:39:08"
PL11,040101-00047,"RESIN PC 【 30100-006WH0 】","PC LUXY UK-2G60 W1487Z WHITE",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,35,"2026-08-25 15:39:08"
PL11,040101-00047C,"RESIN PC 【 30100-006WH0 】","PC LUXY UK-2G60 W1487Z WHITE",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,36,"2026-08-25 15:39:08"
PL11,040101-00047S,"RESIN PC 【 30100-006WHR1 】","PC LUXY UK-2G60 W1487Z® WHITE",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,37,"2026-08-25 15:39:08"
PL11,040101-00048,"RESIN PC 【 30100-007BK0 】","PC LUXY UK-2G60 KA20J BLACK",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,38,"2026-08-25 15:39:08"
PL11,040101-00048C,"RESIN PC 【 30100-007BK0 】","PC LUXY UK-2G60 KA20J BLACK",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,39,"2026-08-25 15:39:08"
PL11,040101-00049,"RESIN PC 【 30100-009WH0 】","PC GC-1022 FW9254 WHITE",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,40,"2026-08-25 15:39:08"
PL11,040101-00050,"RESIN PC 【 30100-010WH0 】","PC CF-3200HF/FW9590 WH",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,41,"2026-08-25 15:39:08"
PL11,040101-00051,"RESIN PC 【 30100-011BK0 】","PC P510R-BK28",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,42,"2026-08-25 15:39:08"
PL11,040101-00052,"RESIN PC 【 30100-011LG0 】","PC EN 1052 G62532 LIGHT GRAY",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,43,"2026-08-25 15:39:08"
PL11,040101-00053,"RESIN PC 【 30100-012DG0 】","PC EN 1052 G42088 DARK GRAY",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,44,"2026-08-25 15:39:08"
PL11,040101-00054,"RESIN PC 【 30100-013WH0 】","PC LUPOY GP2100 W1047P WHITE",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,45,"2026-08-25 15:39:08"
PL11,040101-00054C,"RESIN PC 【 30100-013WH0 】","PC LUPOY GP2100 W1047P WHITE",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,46,"2026-08-25 15:39:08"
PL11,040101-00055,"RESIN PC 【 30100-015WH0 】","PC  LUPOY-GP2200 W1298",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,47,"2026-08-25 15:39:08"
PL11,040101-00056,"RESIN PC 【 30100-016WH0 】","PC  YER1006FH KA207",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,48,"2026-08-25 15:39:08"
PL11,040101-00057,"RESIN PC 【 30100-017BK0 】","PC LUPOY EF1006FML",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,49,"2026-08-25 15:39:08"
PL11,040101-00058,"RESIN PC 【 30100-021WH0 】","PC SA-1220 FW9330 WHITE",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,50,"2026-08-25 15:39:08"
PL11,040101-00059,"RESIN PC 【 30100-026BK0 】","PC E130I BK210P (Vectra)",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,51,"2026-08-25 15:39:08"
PL11,040101-00059C,"RESIN PC 【 30100-026BK0 】","PC E130I BK210P (Vectra)",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,52,"2026-08-25 15:39:08"
PL11,040101-00060,"RESIN PC 【 30100-027GY0 】","PC LG CHEMICAL SC1004AU E4335 GRAY",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,53,"2026-08-25 15:39:08"
PL11,040101-00061,"RESIN PC 【 30100-027GY1 】","PC 122U E4335 CHIME",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,54,"2026-08-25 15:39:08"
PL11,040101-00061C,"RESIN PC 【 30100-027GY1 】","PC 122U E4335 CHIME",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,55,"2026-08-25 15:39:08"
PL11,040101-00062,"RESIN PC 【 30100-028WH0 】","PC LG CHEMICAL SC1004AU W2612 WHITE",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,56,"2026-08-25 15:39:08"
PL11,040101-00063,"RESIN PC 【 30100-030BK0 】","PC SLX2466T 7G1A5262 BLACK",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,57,"2026-08-25 15:39:08"
PL11,040101-00063S,"RESIN PC","PC SLX2466T 7G1A5262 BLACK",30,"Raw Material",,,"","",KG,1,A,0,58,"2026-08-25 15:39:08"
PL11,040101-00064,"RESIN PC 【 30100-030WH0 】","PC LUPOY ER1006FH W2368 WHITE",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,59,"2026-08-25 15:39:08"
PL11,040101-00064S,"RESIN PC 【 30100-030WHR 】","PC LUPOY ER1006FH(R) W2368 WHITE",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,60,"2026-08-25 15:39:08"
PL11,040101-00065,"RESIN PC 【 30100-031GR0 】","PC LUPOY SC1004AU E5984",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,61,"2026-08-25 15:39:08"
PL11,040101-00066,"RESIN PC 【 30100-032GR0 】","PC H23006C2 RAL-7043",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,62,"2026-08-25 15:39:08"
PL11,040101-00067,"RESIN PC 【 30100-032TP0 】","PC EN-1052/NP-TP",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,63,"2026-08-25 15:39:08"
PL11,040101-00067C,"RESIN PC 【 30100-032TP0 】","PC EN-1052/NP-TP",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,64,"2026-08-25 15:39:08"
PL11,040101-00068,"RESIN PC 【 30100-033000 】","PC SA-1220R FW9330 NP",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,65,"2026-08-25 15:39:08"
PL11,040101-00069,"RESIN PC 【 30100-033BK0 】","PC 122U J20426C2 BLACK",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,66,"2026-08-25 15:39:08"
PL11,040101-00070,"RESIN PC 【 30100-033GR0 】","PC-122U H22410C2 GRAY",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,67,"2026-08-25 15:39:08"
PL11,040101-00070C,"RESIN PC 【 30100-033GR0 】","PC-122U H22410C2 GRAY",30,"Raw Material",ZZ400,"Merchandise(Raw Mat.)","","",KG,1,A,0,68,"2026-08-25 15:39:08"
