plant_cd,item_cd,item_nm,spec,item_acct_cd,item_acct_nm,item_group_cd,item_group_nm,item_class,item_class_nm,basic_unit,if_seq,create_type,is_canceled,source_inf_id,synced_at
PL11,100699,"Thép làm lõi khuôn-Steel (for make core) -33.5*100.5*125.5","Thép làm lõi khuôn-Steel (for make core) -33.5*100.5*125.5",30,"Raw Material",MZ000,Mold,"","",EA,1,A,0,233,"2026-08-25 15:39:08"
PL11,100699-1,"Thép làm lõi khuôn-Steel (for make core)-30.5*100.5*12.5","Thép làm lõi khuôn-Steel (for make core)-30.5*100.5*12.5",30,"Raw Material",MZ000,Mold,"","",EA,1,A,0,234,"2026-08-25 15:39:08"
PL11,100699-2,"Thép làm lõi khuôn-Steel (for make core) 31.6*110.5*120.5","Thép làm lõi khuôn-Steel (for make core) 31.6*110.5*120.5",30,"Raw Material",MZ000,Mold,"","",EA,1,A,0,235,"2026-08-25 15:39:08"
PL11,100838,"VỎ KHUÔN-Mold cover CI2030","VỎ KHUÔN-Mold cover CI2030",30,"Raw Material",MZ000,Mold,"","",EA,1,A,0,236,"2026-08-25 15:39:08"
PL11,100838-1,"VỎ KHUÔN-Mold cover -SC2030","VỎ KHUÔN-Mold cover -SC2030",30,"Raw Material",MZ000,Mold,"","",EA,1,A,0,237,"2026-08-25 15:39:08"
PL11,97KHUON.NEWTONPRO2.6_CASEREAR#3/2X8_SV2404,"Khuôn thép Newton pro 2.6 Case Rear #3/2x8 SV-2404, hàng mới 100%","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1567,"2026-08-25 15:39:08"
PL11,97KHUON.NEWTONPRO2.6_CASEREAR#4/2X8_SV2405,"Khuôn thép Newton pro 2.6 Case Rear #4/2x8 SV-2405, hàng mới 100%","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1568,"2026-08-25 15:39:08"
PL11,97KHUON.NEWTONPRO2.6_CASEREAR#5/2X8_SV2406,"Khuôn thép Newton pro 2.6 Case Rear #5/2x8 SV-2406, hàng mới 100%","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1569,"2026-08-25 15:39:08"
PL11,"97KHUON.SV-2320 NEWTONCORE2.7CASEUPPER","Khuôn SV-2320 NEWTON CORE 2.7 CASE UPPER","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1577,"2026-08-25 15:39:08"
PL11,97KHUON.SV-2321NEWTONCORELOWER,"Khuôn SV-2321 NEWTON CORE 2.7 CASE LOWER","",50,Merchandise,MZ000,Mold,"","",EA,1,A,0,1578,"2026-08-25 15:39:08"
